,index,sentence,numerals-tags,company,docEndDate,docType,fileName,year,ner_tags,tokens
10,10285,"Operating lease expense for the year ended December31, 2019, 2018, and 2017 was $29.0 million, $40.1 million, and $36.0 million, respectively.","{'us-gaap:OperatingLeaseExpense': ['29.0', '40.1', '36.0']}",PRICE T ROWE GROUP INC,"December 31, 2019",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/T/10-K/0001113169-20-000008/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2629, 0, 0, 0, 2629, 0, 0, 0, 0, 2629, 0, 0, 0, 0]","['Operating', 'lease', 'expense', 'for', 'the', 'year', 'ended', 'December31', ',', '2019', ',', '2018', ',', 'and', '2017', 'was', '$', '29.0', 'million', ',', '$', '40.1', 'million', ',', 'and', '$', '36.0', 'million', ',', 'respectively', '.']"
11,11058,"The weighted average grant date fair values per share of RSUs granted in 2019, 2018 and 2017 were $106.58, $110.05 and $79.52, respectively.","{'us-gaap:ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue': ['106.58', '110.05', '79.52']}",TEXAS INSTRUMENTS INCORPORATED,"December 31, 2019",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/TXN/10-K/0000097476-20-000009/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2637, 0, 0, 2637, 0, 0, 2637, 0, 0, 0]","['The', 'weighted', 'average', 'grant', 'date', 'fair', 'values', 'per', 'share', 'of', 'RSUs', 'granted', 'in', '2019', ',', '2018', 'and', '2017', 'were', '$', '106.58', ',', '$', '110.05', 'and', '$', '79.52', ',', 'respectively', '.']"
12,74714,"As of December31, 2019 and 2018, there was approximately $2.3 million and $1.5 million of unrecognized share-based compensation expense, net of estimated forfeitures, related to ESPP, which will be recognized on a straight-line basis over the remaining weighted-average vesting periods of approximately 0.4 years, respectively.","{'us-gaap:EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized': ['2.3', '1.5']}","RingCentral, Inc.","December 31, 2019",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/RNG/10-K/0001384905-20-000008/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2590, 0, 0, 0, 2590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['As', 'of', 'December31', ',', '2019', 'and', '2018', ',', 'there', 'was', 'approximately', '$', '2.3', 'million', 'and', '$', '1.5', 'million', 'of', 'unrecognized', 'share', '-', 'based', 'compensation', 'expense', ',', 'net', 'of', 'estimated', 'forfeitures', ',', 'related', 'to', 'ESPP', ',', 'which', 'will', 'be', 'recognized', 'on', 'a', 'straight', '-', 'line', 'basis', 'over', 'the', 'remaining', 'weighted', '-', 'average', 'vesting', 'periods', 'of', 'approximately', '0.4', 'years', ',', 'respectively', '.']"
13,942,"At December 31, 2020, we have $1,455 million of other indemnification commitments, including representations and warranties in sales of businesses or assets, for which we recorded a liability of $142 million.","{'us-gaap:OtherCommitment': ['1,455']}",GENERAL ELECTRIC CO,"December 31, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/GE/10-K/0000040545-21-000011/filing-details.html,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['At', 'December', '31', ',', '2020', ',', 'we', 'have', '$', '1,455', 'million', 'of', 'other', 'indemnification', 'commitments', ',', 'including', 'representations', 'and', 'warranties', 'in', 'sales', 'of', 'businesses', 'or', 'assets', ',', 'for', 'which', 'we', 'recorded', 'a', 'liability', 'of', '$', '142', 'million', '.']"
14,46342,"Common stock, 300.0 shares authorized, $0.001 par value, 117.7 shares and 116.0 shares issued and outstanding as of December 31, 2020, and 2019, respectively","{'us-gaap:CommonStockSharesAuthorized': ['300.0'], 'us-gaap:CommonStockParOrStatedValuePerShare': ['0.001'], 'us-gaap:CommonStockSharesIssued': ['117.7', '116.0']}","Intuitive Surgical, Inc.","December 31, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/ISRG/10-K/0001035267-21-000028/filing-details.html,21,"[0, 0, 0, 2578, 0, 0, 0, 0, 2633, 0, 0, 0, 2634, 0, 0, 2634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Common', 'stock', ',', '300.0', 'shares', 'authorized', ',', '$', '0.001', 'par', 'value', ',', '117.7', 'shares', 'and', '116.0', 'shares', 'issued', 'and', 'outstanding', 'as', 'of', 'December', '31', ',', '2020', ',', 'and', '2019', ',', 'respectively']"
15,72831,"Regardless of the fluctuations in fair value, the outstanding principal amount of our long-term debt is $793 million at both December31, 2020 and 2019.",{'us-gaap:DebtInstrumentFaceAmount': ['793']},Cincinnati Financial Corporation,"December 31, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/CINF/10-K/0000020286-21-000013/filing-details.html,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2609, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Regardless', 'of', 'the', 'fluctuations', 'in', 'fair', 'value', ',', 'the', 'outstanding', 'principal', 'amount', 'of', 'our', 'long', '-', 'term', 'debt', 'is', '$', '793', 'million', 'at', 'both', 'December31', ',', '2020', 'and', '2019', '.']"
16,95285,"The company has operating lease costs of $31.2 million, $31.0 million and $30.2 million in fiscal 2020, 2019 and 2018 respectively, including short-term lease expense and variable lease costs, which were immaterial in the year.","{'us-gaap:OperatingLeaseCost': ['31.2', '31.0', '30.2']}",THE MIDDLEBY CORPORATION,"January 2, 2021",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/MIDD/10-K/0000769520-21-000003/filing-details.html,21,"[0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 0, 0, 248, 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'company', 'has', 'operating', 'lease', 'costs', 'of', '$', '31.2', 'million', ',', '$', '31.0', 'million', 'and', '$', '30.2', 'million', 'in', 'fiscal', '2020', ',', '2019', 'and', '2018', 'respectively', ',', 'including', 'short', '-', 'term', 'lease', 'expense', 'and', 'variable', 'lease', 'costs', ',', 'which', 'were', 'immaterial', 'in', 'the', 'year', '.']"
17,94307,The Former Affiliate also submitted three alternative breach of contract claims to the 2014 and 2019 Claims that may entitle the Former Affiliate to recovery of $148.5 million to $329.4 million.,"{'us-gaap:LossContingencyDamagesSoughtValue': ['148.5', '329.4']}",AECOM,"SEPTEMBER 30, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/ACM/10-K/0001104659-20-126988/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2657, 0, 0, 0, 2657, 0, 0]","['The', 'Former', 'Affiliate', 'also', 'submitted', 'three', 'alternative', 'breach', 'of', 'contract', 'claims', 'to', 'the', '2014', 'and', '2019', 'Claims', 'that', 'may', 'entitle', 'the', 'Former', 'Affiliate', 'to', 'recovery', 'of', '$', '148.5', 'million', 'to', '$', '329.4', 'million', '.']"
18,75883,"(a)Excludes $8 million of finance receivables at December31, 2020, for which we have elected the fair value option.",{'us-gaap:LoansReceivableFairValueDisclosure': ['8']},ALLY FINANCIAL INC.,"December 31, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/ALLY/10-K/0000040729-21-000008/filing-details.html,21,"[0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['(', 'a)Excludes', '$', '8', 'million', 'of', 'finance', 'receivables', 'at', 'December31', ',', '2020', ',', 'for', 'which', 'we', 'have', 'elected', 'the', 'fair', 'value', 'option', '.']"
19,60576,"thousand shares of Fortive common stock with an aggregate value of approximately $16 million, were withheld to satisfy this requirement.",{'us-gaap:PaymentsRelatedToTaxWithholdingForShareBasedCompensation': ['16']},FORTIVE CORPORATION,"December 31, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/FTV/10-K/0001659166-21-000062/filing-details.html,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 988, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['thousand', 'shares', 'of', 'Fortive', 'common', 'stock', 'with', 'an', 'aggregate', 'value', 'of', 'approximately', '$', '16', 'million', ',', 'were', 'withheld', 'to', 'satisfy', 'this', 'requirement', '.']"
20,10466,"1Includes $2,442 for the reclassification of prior service credit amortization.","{'us-gaap:OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax': ['2,442']}",AT&T INC.,"December 31, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/T/10-K/0000732717-21-000012/filing-details.html,21,"[0, 0, 907, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['1Includes', '$', '2,442', 'for', 'the', 'reclassification', 'of', 'prior', 'service', 'credit', 'amortization', '.']"
21,90278,"The Company's revenue attributable to the United States represented 93%, 97%, and 100% of total revenue for the fiscal years ended June30, 2020, 2019, and 2018, respectively.","{'us-gaap:ConcentrationRiskPercentage1': ['93', '97', '100']}","Peloton Interactive, Inc.","June 30, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/PTON/10-K/0001639825-20-000122/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2594, 0, 0, 2594, 0, 0, 0, 2594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'Company', ""'s"", 'revenue', 'attributable', 'to', 'the', 'United', 'States', 'represented', '93', '%', ',', '97', '%', ',', 'and', '100', '%', 'of', 'total', 'revenue', 'for', 'the', 'fiscal', 'years', 'ended', 'June30', ',', '2020', ',', '2019', ',', 'and', '2018', ',', 'respectively', '.']"
22,69039,"The total grant date fair value of restricted stock awards vested for Company employees in fiscal 2020, 2019 and 2018 was $254 million, $182 million and $355 million, respectively.","{'us-gaap:ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue': ['254', '182', '355']}",HEWLETT PACKARD ENTERPRISE CO,"October 31, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/HPE/10-K/0001645590-20-000056/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2618, 0, 0, 0, 2618, 0, 0, 0, 2618, 0, 0, 0, 0]","['The', 'total', 'grant', 'date', 'fair', 'value', 'of', 'restricted', 'stock', 'awards', 'vested', 'for', 'Company', 'employees', 'in', 'fiscal', '2020', ',', '2019', 'and', '2018', 'was', '$', '254', 'million', ',', '$', '182', 'million', 'and', '$', '355', 'million', ',', 'respectively', '.']"
23,55965,"On May 1, 2018, we completed our initial public offering, or IPO, in which we issued and sold 19.3 million shares of common stock at price to the public of $29.00 per share, including 3.3 million shares of common stock purchased by the underwriters in the full exercise of the over-allotment option granted to them.","{'us-gaap:SaleOfStockNumberOfSharesIssuedInTransaction': ['19.3', '3.3'], 'us-gaap:SaleOfStockPricePerShare': ['29.00']}",DOCUSIGN INC,"January 31, 2019",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/DOCU/10-K/0001261333-19-000012/filing-details.html,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2662, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 2662, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['On', 'May', '1', ',', '2018', ',', 'we', 'completed', 'our', 'initial', 'public', 'offering', ',', 'or', 'IPO', ',', 'in', 'which', 'we', 'issued', 'and', 'sold', '19.3', 'million', 'shares', 'of', 'common', 'stock', 'at', 'price', 'to', 'the', 'public', 'of', '$', '29.00', 'per', 'share', ',', 'including', '3.3', 'million', 'shares', 'of', 'common', 'stock', 'purchased', 'by', 'the', 'underwriters', 'in', 'the', 'full', 'exercise', 'of', 'the', 'over', '-', 'allotment', 'option', 'granted', 'to', 'them', '.']"
24,16702,"While the adoption of the new standard did not have a significant effect on earnings, approximately $2 billion of certain annual revenues that were previously classified in other revenue have been reclassified to passenger revenue.",{'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax': ['2']},DELTA AIR LINES INC /DE/,"December 31, 2018",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/DE/10-K/0000027904-19-000003/filing-details.html,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['While', 'the', 'adoption', 'of', 'the', 'new', 'standard', 'did', 'not', 'have', 'a', 'significant', 'effect', 'on', 'earnings', ',', 'approximately', '$', '2', 'billion', 'of', 'certain', 'annual', 'revenues', 'that', 'were', 'previously', 'classified', 'in', 'other', 'revenue', 'have', 'been', 'reclassified', 'to', 'passenger', 'revenue', '.']"
25,77262,"For 2020, the 15% taxes on foreign earnings item includes $20million of tax benefit associated with the Company's equity investment in Guacolda.",{'us-gaap:EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential': ['15']},THE AES CORPORATION,"December 31, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/AES/10-K/0000874761-21-000015/filing-details.html,21,"[0, 0, 0, 0, 663, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['For', '2020', ',', 'the', '15', '%', 'taxes', 'on', 'foreign', 'earnings', 'item', 'includes', '$', '20million', 'of', 'tax', 'benefit', 'associated', 'with', 'the', 'Company', ""'s"", 'equity', 'investment', 'in', 'Guacolda', '.']"
26,79702,"During 2018, we recorded a gain relating to income tax-related interest and penalties of $0.9 million due to uncertain tax positions included in Provision for income taxes in the accompanying consolidated statements of operations.",{'us-gaap:UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense': ['0.9']},"ADVANCE AUTO PARTS, INC.","December 28, 2019",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/AAP/10-K/0001158449-20-000035/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['During', '2018', ',', 'we', 'recorded', 'a', 'gain', 'relating', 'to', 'income', 'tax', '-', 'related', 'interest', 'and', 'penalties', 'of', '$', '0.9', 'million', 'due', 'to', 'uncertain', 'tax', 'positions', 'included', 'in', 'Provision', 'for', 'income', 'taxes', 'in', 'the', 'accompanying', 'consolidated', 'statements', 'of', 'operations', '.']"
27,67023,"As of December31, 2019, interest on the borrowings under the Secured Receivables Credit Facility is based on either commercial paper rates for highly-rated issuers or LIBOR plus a spread of 0.70% to 0.725%.","{'us-gaap:DebtInstrumentBasisSpreadOnVariableRate1': ['0.70', '0.725']}",Quest Diagnostics Inc,"December 31, 2019",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/DGX/10-K/0001022079-20-000017/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2587, 0, 0, 2587, 0, 0]","['As', 'of', 'December31', ',', '2019', ',', 'interest', 'on', 'the', 'borrowings', 'under', 'the', 'Secured', 'Receivables', 'Credit', 'Facility', 'is', 'based', 'on', 'either', 'commercial', 'paper', 'rates', 'for', 'highly', '-', 'rated', 'issuers', 'or', 'LIBOR', 'plus', 'a', 'spread', 'of', '0.70', '%', 'to', '0.725', '%', '.']"
